ocid,tender_id,tender_title,tender_description,buyer_id,buyer_name,supplier_id,supplier_name,tender_value_amount,award_value_amount,currency,tender_datePublished,award_date,tender_procurementMethod,tender_mainProcurementCategory,tender_status
ocds-20h3g7-12604010,12604010,Pembangunan Jalan Paving Baru Lebar 3 m dan Saluran 40/60 dengan Cover Dua Sisi (JL. KEDINDING LOR GG. DAHLIA),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,9163010.0-1,CV. NISYA MULTI BINTANG,1170581000,859648469.19,IDR,2024-02-22,2024-03-18,open,works,complete
ocds-20h3g7-12605010,12605010,Pembangunan Jalan Flexible Pavement Kolektor (JL. RADIAL ROAD - LANJUTAN),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1400010.0-1,PT. Media Cipta Perkasa,57997513000,54288974277.17,IDR,2024-03-15,2024-04-01,open,works,complete
ocds-20h3g7-12606010,12606010,Pembangunan Jalan Flexible Pavement Kolektor (JL. CILIWUNG; JAMBI; CISADANE; CIPUNEGARA),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,12448015.0-1,"PT,JAYA ETIKA BETON",26995181000,24333720646.41,IDR,2024-02-26,2024-03-22,open,works,complete
ocds-20h3g7-12607010,12607010,Pembangunan Jalan Paving Baru Lebar 3 m dan Saluran 60/80 dengan Cover Dua Sisi (JL. SETRO BARU UTARA V),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,4098010.0-1,CV. HADI JAYA PUTRA,1028805000,773828474.94,IDR,2024-02-22,2024-03-14,open,works,complete
ocds-20h3g7-12608010,12608010,"Pembangunan Pedestrian dengan Saluran (Lebar Pedestrian > 3 m) (JL. KEDUNGDORO SISI TIMUR S/D JL. EMBONG MALANG, JL. KARTINI)",Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,12448015.0-1,"PT,JAYA ETIKA BETON",18213767000,16087425018.59,IDR,2024-02-26,2024-03-14,open,works,complete
ocds-20h3g7-12609010,12609010,Pembangunan Jalan Paving Baru Lebar 5 m dan Saluran 60/80 dengan Cover Dua Sisi (JL. TAMBAK DALAM BARU 1 B ),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,7016010.0-1,CV . DWI JAYA,1501557458,1220000000,IDR,2024-02-23,2024-03-14,open,works,complete
ocds-20h3g7-12610010,12610010,"Pembangunan Jalan Paving Baru Lebar 4 m dan Saluran 40/60 dengan Cover Dua Sisi (JL. TAMBAK ASRI GG. BUNGA RAMPAI 1, 2, 3, 4, 5 RT 13 RW 06)",Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1249116.0-1,BUMINATA KONSTRUKSI,2353385000,1752332519.17,IDR,2024-02-22,2024-03-19,open,works,complete
ocds-20h3g7-12611010,12611010,Bangunan Bertingkat 2 Lantai (GEDUNG BAGIAN PENGADAAN BARANG/JASA DAN ADMINISTRASI PEMBANGUNAN - TAHAP 2),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,582201.0-1,PT. MANDIRI LANGGENG GEMILANG,3401707000,2721365600,IDR,2024-02-26,2024-03-22,open,works,complete
ocds-20h3g7-12614010,12614010,Bangunan Tidak Bertingkat (GEDUNG SERBAGUNA GUNUNGANYAR TAHAP 2),Pekerjaan Konstruksi,D181,Pemerintah Daerah Kota Surabaya,1306010.0-1,CV. PANCA NUSA GRAHA,3080925000,2430096617.95,IDR,2024-02-28,2024-03-22,open,works,complete
ocds-20h3g7-12616010,12616010,"Biaya Pengawasan Fisik (Tidak Sederhana), Nilai Pekerjaan 15 M - (Saluran) - Paket GG2",Jasa Konsultansi Badan Usaha Konstruksi,D181,Pemerintah Daerah Kota Surabaya,5055010.0-1,PT. MITRA CIPTA ENGINEERING,426207200,371927700,IDR,2024-02-29,2024-04-22,open,services,complete
